sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	expt_code	site_type	rep	plant	treatment	time_zone	latitude	longitude	altitude	site_name	city	state	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	date_phenology_assessed	phenology_emergence	phenology_leaves_full_size	phenology_herbivore_damage	phenology_open_flowers	phenology_ripe_seeds	phenology_leaf_wilting	phenology_canopy_closed	phenology_senescence	phenology_full_leaf_loss	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year
73	1	G5R1_MAIN_12JUL2016	12	7	2016	11:20	38.7 C sunny, windy	32.2	NA	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_12JUL2016	6	2017-03-18	6	70	32	80	736	107	2.3	7.8	4.3	5.7	24.4	G5R1_MAIN_12JUL2016	322	1.3709	45.0752	32.88	162.56	1.014	7/15/16	t	f	f	f	f	f	t	f	f	G5R1_MAIN_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	28.6		11000	SH Lee	G5R1_MAIN_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
74	2	G5R2_MAIN_12JUL2016	12	7	2016	11:57	38.7 C sunny, windy	33.6	NA	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_12JUL2016	6	2017-03-18	6.4	71	20	66	700	104	2.6	5.4	10.9	7.5	25.4	G5R2_MAIN_12JUL2016	342	1.3342	45.2078	33.88	162.56	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.1		6961.5	SH Lee	G5R2_MAIN_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
75	3	G5R3_MAIN_12JUL2016	12	7	2016	13:08	38.7 C sunny, windy	31.4	NA	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_12JUL2016	6	2017-03-18	5.9	69	19	79	820	119	3.1	3.2	4.9	5.8	25.5	G5R3_MAIN_12JUL2016	344	1.447	45.3191	31.32	162.56	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.2		7000	SH Lee	G5R3_MAIN_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
76	4	G5R4_MAIN_12JUL2016	12	7	2016	13:45	38.7 C sunny, windy	33.1	shows signs of infection	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_12JUL2016	6	2017-03-18	6.5	71	38	122	726	119	2.6	7.4	6.8	4.8	29.5	G5R4_MAIN_12JUL2016	336	1.0099	33.8473	33.52	162.56	1.051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	23.5		9038.5	SH Lee	G5R4_MAIN_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
77	6	G5R1_NF_12JUL2016	12	7	2016	11:15	38.7 C sunny, windy	38.7	NA	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_12JUL2016	6	2017-03-18	6.5	71	31	85	905	129	2.7	1.6	2.5	6.4	24	G5R1_NF_12JUL2016	338	1.2056	44.8801	37.23	162.56	0.794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	30.6		11769.2	SH Lee	G5R1_NF_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
79	8	G5R3_NF_12JUL2016	12	7	2016	13:01	38.7 C sunny, windy	31.2	NA	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_12JUL2016	6	2017-03-18	6.4	71	20	78	968	122	3.2	1.4	4.8	6.7	26.5	G5R3_NF_12JUL2016	331	1.2688	45.2186	35.64	162.56	0.934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	42.8		16461.5	SH Lee	G5R3_NF_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
80	9	G5R4_NF_12JUL2016	12	7	2016	13:40	38.7 C sunny, windy	38.4	shows signs of infection	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_12JUL2016	6	2017-03-18	7		38	124	997	119	2.7	1.3	3.1	4	31.2	G5R4_NF_12JUL2016	363	1.0679	45.2878	42.41	162.56	0.913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_12JUL2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	40.4		15538.5	SH Lee	G5R4_NF_12JUL2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016
89	1	G5R1_MAIN_01AUG2016	1	8	2016	11:32	partly cloudy, 24C	27	NA	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_01AUG2016	6	2017-10-03	6.3	72	16	56	761	94	1.8	1.2	2.9	12.28	21.6	G5R1_MAIN_01AUG2016	440	1.4577	45.5692	31.26	180.34	0.696	7/26/16	t	t	f	t	f	f	t	f	f	G5R1_MAIN_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	20.8		8000	SH Lee	G5R1_MAIN_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
90	2	G5R2_MAIN_01AUG2016	1	8	2016	12:02	partly cloudy, 24C	22.7	NA	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_01AUG2016	6	2017-10-03	6	72	12	66	740	110	2.1	1.2	4.3	13.49	26	G5R2_MAIN_01AUG2016	437	1.5144	45.5953	30.11	180.34	0.611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	19.9		7653.8	SH Lee	G5R2_MAIN_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
91	3	G5R3_MAIN_01AUG2016	1	8	2016	13:25	partly cloudy, 24C	28	NA	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_01AUG2016	6	2017-10-03	6.3	72	8	67	960	128	2.3	1.5	2.7	13.71	21.6	G5R3_MAIN_01AUG2016	418	1.7556	45.8841	26.14	180.34	0.591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	17		6538.5	SH Lee	G5R3_MAIN_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
92	4	G5R4_MAIN_01AUG2016	1	8	2016	14:11	partly cloudy, 24C	28	NA	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_01AUG2016	6	2017-10-03	6.1	73	18	109	819	142	2.2	2.1	2.9	11.86	23.2	G5R4_MAIN_01AUG2016	418	1.8887	45.5439	24.11	180.34	0.584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	15.9		6115.4	SH Lee	G5R4_MAIN_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
93	6	G5R1_NF_01AUG2016	1	8	2016	11:32	partly cloudy, 24C	27	NA	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_01AUG2016	6	2017-10-03	6.6	73	16	73	894	133	2	0.6	3.9	13.82	21.6	G5R1_NF_01AUG2016	423	1.3433	44.849	33.39	180.34	0.745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.4		7076.9	SH Lee	G5R1_NF_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
94	7	G5R2_NF_01AUG2016	1	8	2016	12:02	partly cloudy, 24C	22.7	NA	G5R2_NF	BCSE	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_NF_01AUG2016	6	2017-10-03	6.1	73	9	66	821	118	1.9	0.2	3.2	12.98	26	G5R2_NF_01AUG2016	477	1.5426	45.4351	29.45	180.34	0.545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_NF_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	14.8		5692.3	SH Lee	G5R2_NF_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
96	9	G5R4_NF_01AUG2016	1	8	2016	14:11	partly cloudy, 24C	28	NA	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_01AUG2016	6	2017-10-03	6	73	20	99	768	135	2.1	0.8	3.4	12.81	23.2	G5R4_NF_01AUG2016	441	1.4285	45.0125	31.51	180.34	0.516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_01AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	24.6		9461.5	SH Lee	G5R4_NF_01AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-01	1470024000	01.08.16	0	22	28.7	15.3	605	74.32	1.83	1.29	32.2	311.4	423.21	24.9	23.6	2016
105	1	G5R1_MAIN_22AUG2016	22	8	2016	11:04	Clear, 23C	24.1	NA	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_22AUG2016	6	2017-09-26	6.5	73	25	60	880	90	1.5	5	13.6	13.29	20.1	G5R1_MAIN_22AUG2016	401	1.6472	46.0693	27.97	203.2	0.474	8/26/16	t	t	f	t	t	t	t	f	f	G5R1_MAIN_22AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	19.1		7346.2	SH Lee	G5R1_MAIN_22AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
106	2	G5R2_MAIN_22AUG2016	22	8	2016	12:18	Clear, 23C	24.7	NA	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_22AUG2016	6	2017-09-26	6.3	69	14	39	908	122	1.3	1.6	4.9	13.46	20.8	G5R2_MAIN_22AUG2016	384	1.7358	45.7595	26.36	203.2	0.521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_22AUG2016_SD2		DNA	2	soil	0.26	Mobio Powersoil	100	9.7		3730.8	SH Lee	G5R2_MAIN_22AUG2016_SD2		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
107	3	G5R3_MAIN_22AUG2016	22	8	2016	13:04	partly cloudy, 25C	15.1	NA	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_22AUG2016	6	2017-09-26	6.5	73	11	46	1070	123	1.4	1.6	3.2	15.08	20.6	G5R3_MAIN_22AUG2016	390	1.633	45.7778	28.03	203.2	0.616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_22AUG2016_SD2		DNA	2	soil	0.26	Mobio Powersoil	100	9.5		3653.8	SH Lee	G5R3_MAIN_22AUG2016_SD2		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
108	4	G5R4_MAIN_22AUG2016	22	8	2016	14:03	partly cloudy, 25C	22.5	NA	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_22AUG2016	6	2017-09-26	6.2	69	24	92	776	128	1.8	2.2	3.9	13.51	21.6	G5R4_MAIN_22AUG2016	394	1.7404	46.101	26.49	203.2	0.499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_22AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	17.2		6615.4	SH Lee	G5R4_MAIN_22AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
109	6	G5R1_NF_22AUG2016	22	8	2016	11:04	Clear, 23C	24.1	NA	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_22AUG2016	6	2017-09-26	6.6	73	18	55	861	115	1.6	1.5	3.4	14.52	20.1	G5R1_NF_22AUG2016	477	1.1859	45.3229	38.22	203.2	0.428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_22AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	16.5		6346.2	SH Lee	G5R1_NF_22AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
110	7	G5R2_NF_22AUG2016	22	8	2016	12:18	Clear, 23C	24.7	NA	G5R2_NF	BCSE	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_NF_22AUG2016	6	2017-09-26	6.2	69	13	52	922	124	1.8	0.7	4.1	17.94	20.8	G5R2_NF_22AUG2016	417	1.5256	57.1143	37.44	203.2	0.404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_NF_22AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	14.9		5730.8	SH Lee	G5R2_NF_22AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
111	8	G5R3_NF_22AUG2016	22	8	2016	13:04	partly cloudy, 25C	15.1	NA	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_22AUG2016	6	2017-09-26	6.6	72	13	48	1009	115	1.8	1.4	3.8	14.97	20.6	G5R3_NF_22AUG2016	377	1.2335	45.4321	36.83	203.2	0.646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_22AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	17.7		6807.7	SH Lee	G5R3_NF_22AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
112	9	G5R4_NF_22AUG2016	22	8	2016	14:03	partly cloudy, 25C	22.5	NA	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_22AUG2016	6	2017-09-26	6.4	73	20	79	881	123	1.8	1.6	5.6	17.25	21.6	G5R4_NF_22AUG2016	425	1.1642	45.7642	39.31	203.2	0.344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_22AUG2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	24.6		9461.5	SH Lee	G5R4_NF_22AUG2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-08-22	1471838400	22.08.16	0	18.1	24.9	10.9	988	76.39	1.51	1.16	208.6	254.79	331.37	21.5	21.9	2016
121	1	G5R1_MAIN_12SEP2016	12	9	2016	11:42	23C, sunny, light breeze	24.9	NA	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_12SEP2016	6	2017-03-18	6.6	72	23	52	712	84	2	3.9	4.9	13	18.8	G5R1_MAIN_12SEP2016	361	1.7153	46.2099	26.94	185.42	0.56	9/9/16	t	t	f	t	t	t	t	f	f	G5R1_MAIN_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	17.8		6846.2	SH Lee	G5R1_MAIN_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
122	2	G5R2_MAIN_12SEP2016	12	9	2016	13:14	23C, sunny, light breeze	23.7	NA	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_12SEP2016	6	2017-03-18	6.3	71	15	38	810	80	1.6	1.9	3.8	13.3	20.3	G5R2_MAIN_12SEP2016	391	1.7624	45.9969	26.1	185.42	0.544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	15.6		6000	SH Lee	G5R2_MAIN_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
123	3	G5R3_MAIN_12SEP2016	12	9	2016	13:45	23C, sunny, light breeze	19.5	NA	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_12SEP2016	6	2017-03-18	7.1	72	11	47	1177	114	1.9	2.4	3.2	14.9	22.4	G5R3_MAIN_12SEP2016	359	1.6376	46.6662	28.5	185.42	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	14.5		5576.9	SH Lee	G5R3_MAIN_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
124	4	G5R4_MAIN_12SEP2016	12	9	2016	14:34	23C, sunny, light breeze	26.5	NA	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_12SEP2016	6	2017-03-18	6.1	72	23	107	964	133	2	4.6	3.3	12.8	21.5	G5R4_MAIN_12SEP2016	375	1.8523	46.1482	24.91	185.42	0.554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	16		6153.8	SH Lee	G5R4_MAIN_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
125	6	G5R1_NF_12SEP2016	12	9	2016	11:42	23C, sunny, light breeze	24.9	NA	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_12SEP2016	6	2017-03-18	7.2	71	18	46	942	110	2	2.9	4.1	13.6	18.8	G5R1_NF_12SEP2016	351	1.2826	46.1437	35.98	185.42	0.565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.4		7076.9	SH Lee	G5R1_NF_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
126	7	G5R2_NF_12SEP2016	12	9	2016	13:14	23C, sunny, light breeze	23.7	NA	G5R2_NF	BCSE	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_NF_12SEP2016	6	2017-03-18	6.5	72	12	37	927	91	1.6	0.7	4.2	13	20.3	G5R2_NF_12SEP2016	374	1.6047	46.5152	28.99	185.42	0.419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_NF_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	12.4		4769.2	SH Lee	G5R2_NF_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
127	8	G5R3_NF_12SEP2016	12	9	2016	13:45	23C, sunny, light breeze	19.5	NA	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_12SEP2016	6	2017-03-18	7	72	14	50	1002	98	2.2	2.5	4.7	15.1	22.4	G5R3_NF_12SEP2016	363	1.7101	46.41	27.14	185.42	0.725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_12SEP2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.1		6961.5	SH Lee	G5R3_NF_12SEP2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016
