name	day	month	year	time	weather	air_temp_c	notes	site_type	rep	plant	treatment	time_zone	latitude	longitude	altitude	site_name	city	state	country	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	date_phenology_assessed	phenology_emergence	phenology_leaves_full_size	phenology_herbivore_damage	phenology_open_flowers	phenology_ripe_seeds	phenology_leaf_wilting	phenology_canopy_closed	phenology_senescence	phenology_full_leaf_loss	nucleic_acid_type	source	sequence_name	sequencing_type	sequencing_facility	primers	sampling_date	time_numeric	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR
G5R2_NF_26JUN2017	26	6	2017	12:38	Partly cloudy	22.3	NA	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.4	74	18	103	848	132	2.2	0.5	8.2	8.85	21.4	299	1.4449	45.0547	31.1819	97.79	0.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_NF_26JUN2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-06-26	1498449600	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28
G5R3_NF_26JUN2017	26	6	2017	13:20	Partly cloudy	16.4	NA	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.3	72	18	149	965	145	2.5	1	11.3	11.06	20.1	289	1.5432	45.0481	29.1914	119.38	0.545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_NF_26JUN2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-06-26	1498449600	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28
G5R4_NF_26JUN2017	26	6	2017	13:54	Partly cloudy	22.6	NA	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.5	74	25	117	773	130	2.2	0.9	9	9.13	22.6	293	1.5428	45.3614	29.402	101.6	0.542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_NF_26JUN2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-06-26	1498449600	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28
G5R1_MAIN_17JUL2017	17	7	2017	11:10	Sunny and partly cloudy	26.4	Tassels emerging	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	75	22	60	806	103	2.1	2	8.7	9.5	21.1	330	1.582	45.2977	28.6332	121.92	0.757	7/21/17	t	f	f	f	f	f	f	f	f	RNA	phyllosphere	G5R1_MAIN_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R2_MAIN_17JUL2017	17	7	2017	11:43	Sunny and partly cloudy	26.7	Tassels emerging	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.3	73	11	47	747	96	1.9	1	6.9	10.06	22	313	1.5174	45.2177	29.7995	119.38	0.675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_MAIN_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R3_MAIN_17JUL2017	17	7	2017	12:50	Sunny and partly cloudy	28.1	Tassels emerging	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	75	10	57	926	108	2.2	1.4	7.8	10.45	21.9	305	1.5826	45.2786	28.6103	121.92	0.652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_MAIN_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R4_MAIN_17JUL2017	17	7	2017	13:28	Sunny and partly cloudy	27.5		Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.2	72	22	74	788	137	2	0.5	7.5	9.4	22.8	295	1.8456	45.6237	24.7203	124.46	0.869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_MAIN_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R1_NF_17JUL2017	17	7	2017	11:14	Sunny and partly cloudy	26.4	Tassels emerging	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	75	16	52	753	101	1.9	0.3	9	12.5	21.1	332	1.2639	45.0732	35.662	106.68	0.662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R1_NF_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R2_NF_17JUL2017	17	7	2017	11:49	Sunny and partly cloudy	26.7	Tassels emerging	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.3	73	9	51	854	111	1.8	0.2	7.9	11.18	22.4	310	1.251	45.1882	36.1217	101.6	0.511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_NF_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R3_NF_17JUL2017	17	7	2017	13:00	Sunny and partly cloudy	25	japanese beetles. Tassels emerging	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.8	74	11	64	961	112	2.1	0.8	7.9	11.91	21.8	332	1.3042	44.8882	34.4182	109.22	0.678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_NF_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R4_NF_17JUL2017	17	7	2017	13:38	Sunny and partly cloudy	30.5		Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.3	73	20	81	783	122	1.9	0.7	10.9	11.2	23.7	337	1.1492	44.8849	39.0575	111.76	0.547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_NF_17JUL2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-07-17	1500264000	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89
G5R1_MAIN_07AUG2017	7	8	2017	9:44	Cool and Overcast; Rainy	17.9	Tassled 	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.2	73	24	79	669	114	2.3	3	23.8	9.13	18.5	362	1.61785	45.84165	28.3626	132.08	0.807	8/8/17	t	t	f	NA	t	f	f	f	f	RNA	phyllosphere	G5R1_MAIN_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R2_MAIN_07AUG2017	7	8	2017	10:03	Cool and Overcast; Rainy	19.1	Tassled 	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6	72	16	88	713	122	2.8	6.4	7.6	14.03	19.2	564	1.26215	45.3319	36.0343	157.48	0.202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_MAIN_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R3_MAIN_07AUG2017	7	8	2017	10:38	Cool and Overcast; Rainy	19.7	Tassled 	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.5	74	20	117	924	133	2.8	12.4	13.3	13.02	19	343	1.5381	45.29735	29.4898	152.4	0.529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_MAIN_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R4_MAIN_07AUG2017	7	8	2017	10:45	Cool and Overcast; Rainy	19.7	Tassled 	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	5.8	71	37	134	673	128	3	6.1	9.5	12.92	19.7	349	1.66615	45.6904	27.4672	139.7	0.624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_MAIN_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R1_NF_07AUG2017	7	8	2017	11:49	Sunny and warm	23	Tassled 	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	74	22	85	802	125	2.5	2.4	8.8	12.47	18.7	345	1.2966	44.4849	34.3089	151.13	0.542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R1_NF_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R2_NF_07AUG2017	7	8	2017	12:04	Sunny and warm	24	Tassled 	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.1	72	16	85	775	121	2.4	1.2	11.1	12.91	19.3	348	1.5003	45.1448	30.0905	109.22	0.561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_NF_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R3_NF_07AUG2017	7	8	2017	12:23	Sunny and warm	26	Tassled 	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	74	18	98	928	128	2.7	3.7	10.5	14.72	19.5	365	1.2218	45.1977	36.9927	147.32	0.582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_NF_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R4_NF_07AUG2017	7	8	2017	12:41	Sunny and warm	27.2	Tassled 	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.1	72	28	121	828	129	2.4	2.5	8.1	11.82	20.6	369	1.2882	44.3675	34.4415	132.08	0.498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_NF_07AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-07	1502078400	0	18.2	24.9	12.5	984	81.3	1.62	1.71	349.8	218.61	326.13
G5R1_MAIN_28AUG2017	28	8	2017	11:12	Overcast and Drizzle	17.8		Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	75	22	93	804	130	2.4	3.2	10.4	8.57	18.5	367	1.4213	45.4049	31.946	165.1	0.796	9/1/17	t	t	f	f	t	f	f	f	f	RNA	phyllosphere	G5R1_MAIN_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R2_MAIN_28AUG2017	28	8	2017	11:25	Overcast and Drizzle	16.6		Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6	72	14	77	667	111	2.1	2.9	6.7	11.15	18.5	351	1.367	44.7798	32.7577	172.72	0.582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_MAIN_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R3_MAIN_28AUG2017	28	8	2017	11:40	Overcast and Drizzle	17.8		Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.6	74	20	102	897	128	2	3.3	6.9	9.56	18.3	373	1.4812	44.0241	29.7219	167.64	0.763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_MAIN_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R4_MAIN_28AUG2017	28	8	2017	11:52	Showers	17.4		Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	5.9	72	31	147	712	135	2.4	2.6	8.1	10.21	19.2	383	1.6367	44.6282	27.2672	162.56	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_MAIN_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R1_NF_28AUG2017	28	8	2017	12:52	Partly Cloudy and Warm	17		Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.8		20	82	867	132	2.2	1.1	10.2	10.57	18.4	352	1.4651	44.6851	30.4997	160.02	0.491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R1_NF_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R2_NF_28AUG2017	28	8	2017	13:05	Partly Cloudy and Warm	18.15		Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.2	73	16	93	865	130	2.2	0.2	8.3	9.49	18.8	374	1.218	44.9548	36.9087	127	0.495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_NF_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R3_NF_28AUG2017	28	8	2017	13:18	Partly Cloudy and Warm	21.7		Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.7	74	14	114	1007	133	2.6	2.2	9.5	11.45	18.3	380	1.1708	44.9425	38.3861	152.4	0.551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_NF_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R4_NF_28AUG2017	28	8	2017	13:25	Partly Cloudy and Warm	20.8		Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.2	71	27	137	781	135	2.4	1.9	8.1	11.29	19.4	383	1.1817	44.3726	37.5498	137.16	0.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_NF_28AUG2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-08-28	1503892800	3	17.3	23.3	13.8	985	82.74	1.59	1.38	88.6	141.25	212.71
G5R1_MAIN_18SEP2017	18	9	2017	11:15	Sunny and partly cloudy,Warm	18.6	senescence	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.3	71	22	65	829	115	1.9	0.2	2.3	4.46	18.2	755	1.0692	43.8166	40.9807	165.1	0.58	9/15/17	t	t	f	f	t	f	f	t	f	RNA	phyllosphere	G5R1_MAIN_18SEP2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-09-18	1505707200	0	18.9	27	14.1	985	78.3	1.62	1.89	19.6	166.3	246.46
G5R2_MAIN_18SEP2017	18	9	2017	11:30	Sunny and partly cloudy,Warm	20.1	senescence	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6	71	21	84	718	111	2.2	0.1	2.6	5.7	19	484	1.1097	45.4622	40.968	152.4	0.407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_MAIN_18SEP2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-09-18	1505707200	0	18.9	27	14.1	985	78.3	1.62	1.89	19.6	166.3	246.46
G5R3_MAIN_18SEP2017	18	9	2017	11:48	Sunny and partly cloudy,Warm	18.3	senescence	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.2	71	29	136	885	149	1.9	0.3	3.8	5.59	19.7	574	1.0437	45.2438	43.3494	173.99	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_MAIN_18SEP2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-09-18	1505707200	0	18.9	27	14.1	985	78.3	1.62	1.89	19.6	166.3	246.46
G5R4_MAIN_18SEP2017	18	9	2017	12:03	Hot and Sunny	18.8	senescence	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.4	72	11	62	860	113	2.3	0.6	2.8	5.64	20.1	585	1.0112	44.4036	43.9118	166.37	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_MAIN_18SEP2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-09-18	1505707200	0	18.9	27	14.1	985	78.3	1.62	1.89	19.6	166.3	246.46
G5R3_NF_18SEP2017	18	9	2017	13:45	Hot and Sunny	33.1	senescence	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.3	71	14	73	933	117	2.2	0.1	2.3	6.87	18.9	429	0.9734	44.7985	46.0227	152.4	0.373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_NF_18SEP2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-09-18	1505707200	0	18.9	27	14.1	985	78.3	1.62	1.89	19.6	166.3	246.46
G5R4_NF_18SEP2017	18	9	2017	14:01	Hot and Sunny	29.5	senescence	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-12-07	6.2	72	25	110	722	111	2.1	0.1	2.1	6.34	20.8	448	0.8038	44.1548	54.9326	142.24	0.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_NF_18SEP2017_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2017-09-18	1505707200	0	18.9	27	14.1	985	78.3	1.62	1.89	19.6	166.3	246.46
